offer_id,image_1_primary,image_2_design,image_3_specs,image_4_rooms,image_5_texture
ЦБ-00032188,images/sku/cb-00032188/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
ЦБ-00032187,images/sku/cb-00032187/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
ЦБ-00032186,images/sku/cb-00032186/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
ЦБ-00032185,images/sku/cb-00032185/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
ЦБ-00032184,images/sku/cb-00032184/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
ЦБ-00032183,images/sku/cb-00032183/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
ЦБ-00032160,images/sku/cb-00032160/01-size-main.png,images/common/davos-1-da28/02-design-main.png,images/common/davos-1-da28/03-specs.png,images/common/davos-1-da28/04-rooms.png,images/common/davos-1-da28/05-texture.png
ЦБ-00032202,images/sku/cb-00032202/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032201,images/sku/cb-00032201/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032200,images/sku/cb-00032200/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032199,images/sku/cb-00032199/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032198,images/sku/cb-00032198/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032197,images/sku/cb-00032197/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
ЦБ-00032196,images/sku/cb-00032196/01-size-main.png,images/common/aventura-10-av10/02-design-main.png,images/common/aventura-10-av10/03-specs.png,images/common/aventura-10-av10/04-rooms.png,images/common/aventura-10-av10/05-texture.png
